ID;Field;OldValue;NewValue
crsOAF-O-00956up;AVVHOBOS;NaN;-2.78333333333333
crsOAF-O-00956dn;AVVHOBES;NaN;-2.78333333333333
crsOAF-O-01054up;AVVHOBOS;NaN;-4.7
crsOAF-O-01054up;AVVBODDR;NaN;0.5
crsOAF-O-01054up;AVVTALUL;NaN;1.5
crsOAF-O-01054up;AVVTALUL;NaN;1.5
crsOAF-O-01054up;IWS_BOVENB;NaN;9.5
crsOAF-O-01054dn;AVVHOBES;NaN;-4.7
crsOAF-O-01054dn;AVVBODDR;NaN;0.5
crsOAF-O-01054dn;AVVTALUL;NaN;1.5
crsOAF-O-01054dn;AVVTALUL;NaN;1.5
crsOAF-O-01054dn;IWS_BOVENB;NaN;9.5
crsOAF-O-02380up;AVVHOBOS;NaN;-2.95
crsOAF-O-02380up;AVVBODDR;NaN;0.5
crsOAF-O-02380up;AVVTALUL;NaN;1.5
crsOAF-O-02380up;AVVTALUL;NaN;1.5
crsOAF-O-02380up;IWS_BOVENB;NaN;9.5
crsOAF-O-02380dn;AVVHOBES;NaN;-2.95
crsOAF-O-02380dn;AVVBODDR;NaN;0.5
crsOAF-O-02380dn;AVVTALUL;NaN;1.5
crsOAF-O-02380dn;AVVTALUL;NaN;1.5
crsOAF-O-02380dn;IWS_BOVENB;NaN;9.5
crsOAF-O-02368up;IWS_BOVENB;NaN;5.69
crsOAF-O-02368dn;IWS_BOVENB;NaN;5.69
crsOAF-O-02478up;IWS_BOVENB;NaN;20.5
crsOAF-O-02478dn;IWS_BOVENB;NaN;20.5
crsKGM-O-11730p2up;IWS_BOVENB;NaN;20.5
crsKGM-O-11730p2dn;IWS_BOVENB;NaN;20.5
crsOAF-O-02480up;IWS_BOVENB;NaN;20.5
crsOAF-O-02480dn;IWS_BOVENB;NaN;20.5
