ID;Field;OldValue;NewValue
KBR-O-00094;KBRLENGT;NaN;10
KBR-O-00094;KBRBREED;NaN;5
KBR-O-00094;KBRBHBO;NaN;-3.24000000953674
KBR-O-00094;KBRHOBO;NaN;2.4
KBR-O-00067;KBRLENGT;NaN;10
KBR-O-00067;KBRBREED;NaN;5
KBR-O-00067;KBRBHBO;NaN;-2.6800000667572
KBR-O-00067;KBRHOBO;NaN;3.75
KBR-O-00072;KBRBHBO;NaN;-5.43200016021729
KBR-O-00072;KBRHOBO;NaN;1.7
KBR-O-00041;KBRBREED;NaN;5
KBR-O-00041;KBRBHBO;NaN;-4.69000005722046
KBR-O-00041;KBRHOBO;NaN;2.15
KBR-O-00014;KBRBHBO;NaN;-4.88199996948242
KBR-O-00014;KBRHOBO;NaN;1.7
