,slope,bottomwidth,bottomlevel,maximumflowwidth,roughnesstype,roughnessvalue
OAF-O-00996,1.0,5.5,-4.13,10.43,2,0.03
OAF-O-00069,1.5,2.3000000000000003,-2.33,11.95,2,0.03
OAF-O-00002,1.5,0.6,-0.52,7.57,2,0.03
OAF-O-00797,1.5,1.5,-2.09,9.0,2,0.03
OAF-O-00087,1.5,0.7,-2.79,7.0,2,0.03
OAF-O-00815,1.5,0.7,-3.52,7.0,2,0.03
OAF-O-00954,1.5,0.9,-3.47,9.0,2,0.03
OAF-O-00955,1.5,0.3,-2.78333333333333,7.0,2,0.03
OAF-O-00956,1.5,0.3,-2.78333333333333,7.0,2,0.03
OAF-O-00957,1.5,0.6,-3.09,8.3,2,0.03
OAF-O-00959,1.5,0.7,-3.3000000000000003,3.0,2,0.03
OAF-O-02391,1.5,0.7,-1.6500000000000001,7.96,2,0.03
OAF-O-01042,1.5,0.7,-2.21,7.999999999999999,2,0.03
OAF-O-01043,1.5,0.7,-3.59,7.59,2,0.03
OAF-O-00834,1.5,1.0,-2.15,9.16,2,0.03
OAF-O-01030,1.5,0.7,-2.85,11.78,2,0.03
OAF-O-01108,1.5,0.5,-3.67,7.0,2,0.03
OAF-O-00219,1.5,0.6,-1.87,9.530000000000001,2,0.03
OAF-O-02379,1.5,0.9,-1.54,15.0,2,0.03
OAF-O-00997,1.5,1.6,-4.199999999999999,11.33,2,0.03
OAF-O-00058,1.5,0.9,-1.54,3.0,2,0.03
OAF-O-02396,1.5,0.7,-2.58,7.66,2,0.03
OAF-O-00995,1.5,1.5,-4.26,12.999999999999998,2,0.03
OAF-O-00162,1.5,2.2,-4.41,3.0,2,0.03
OAF-O-00159,1.25,2.6,-4.14,8.379999999999999,2,0.03
OAF-O-00160,1.0,3.8,-4.4,8.58,2,0.03
OAF-O-00950,1.5,1.0,-3.37,10.879999999999999,2,0.03
OAF-O-00161,1.25,3.0999999999999996,-4.49,11.08,2,0.03
OAF-O-00155,1.25,2.8,-4.14,10.0,2,0.03
OAF-O-00894,2.0,0.5,-1.89,10.3,2,0.03
OAF-O-00895,2.0,0.5,-2.03,11.530000000000001,2,0.03
OAF-O-00896,1.5,0.8,-2.41,7.95,2,0.03
OAF-O-02485,1.5,1.0,-2.09,8.469999999999999,2,0.03
OAF-O-00900,1.5,5.5,-5.43,19.0,2,0.03
OAF-O-00901,1.5,0.7,-5.49,8.96,2,0.03
OAF-O-00897,1.5,0.7,-3.11,8.51,2,0.03
OAF-O-00898,1.25,1.1,-2.52,7.36,2,0.03
OAF-O-00899,1.5,0.7,-0.69,6.98,2,0.03
OAF-O-00902,1.5,0.7,-1.34,8.98,2,0.03
OAF-O-01054,1.5,0.5,-4.7,12.5,2,0.03
OAF-O-00779,1.25,3.0999999999999996,-4.38,8.73,2,0.03
OAF-O-00780,1.25,3.9000000000000004,-4.55,8.93,2,0.03
OAF-O-00079,1.5,0.9,-2.08,7.999999999999999,2,0.03
OAF-O-00781,1.5,3.5000000000000004,-4.6000000000000005,9.71,2,0.03
OAF-O-00960,1.5,0.7,-3.3000000000000003,10.23,2,0.03
OAF-O-00962,1.5,0.7,-2.87,7.999999999999999,2,0.03
OAF-O-02389,1.5,2.0999999999999996,-2.09,3.0,2,0.03
OAF-O-02390,1.5,2.0999999999999996,-2.09,3.0,2,0.03
OAF-O-02380,1.5,0.5,-2.95,12.5,2,0.03
OAF-O-02381,1.5,0.5,-1.54,3.0,2,0.03
OAF-O-02385,1.5,2.0999999999999996,-2.09,3.0,2,0.03
OAF-O-01041,1.5,2.0999999999999996,-2.09,3.0,2,0.03
OAF-O-00157,1.5,0.5,-3.84,7.0,2,0.03
OAF-O-00144,1.5,1.6,-4.59,10.6,2,0.03
OAF-O-00145,2.0,6.5,-5.11,21.0,2,0.03
OAF-O-00149,1.5,0.9,-3.38,8.64,2,0.03
OAF-O-00151,1.5,1.7,-4.59,11.0,2,0.03
OAF-O-00152,1.5,1.3,-4.36,8.84,2,0.03
OAF-O-00153,1.5,1.5,-4.199999999999999,11.48,2,0.03
OAF-O-00156,1.5,0.5,-3.83,7.0,2,0.03
OAF-O-02368,1.5,0.5,-4.03,8.690000000000001,2,0.03
