,slope,bottomwidth,bottomlevel,maximumflowwidth,roughnesstype,roughnessvalue
OAF-O-00996,1.0,5.5,-4.27,10.43,2,0.03
OAF-O-00069,1.5,2.3000000000000003,-2.21,11.95,2,0.03
OAF-O-00002,1.5,0.6,-0.52,7.57,2,0.03
OAF-O-00797,1.5,1.5,-1.6500000000000001,9.0,2,0.03
OAF-O-00087,1.5,0.7,-2.69,7.0,2,0.03
OAF-O-00815,1.5,0.7,-3.23,7.0,2,0.03
OAF-O-00954,1.5,0.9,-3.48,9.0,2,0.03
OAF-O-00955,1.5,0.3,-3.55,7.0,2,0.03
OAF-O-00956,1.5,0.3,-3.55,7.0,2,0.03
OAF-O-00957,1.5,0.6,-2.93,8.3,2,0.03
OAF-O-00959,0.75,0.5,-3.45,4.0,2,0.03
OAF-O-02391,1.5,0.7,-0.97,7.96,2,0.03
OAF-O-01042,1.5,0.7,-1.79,7.999999999999999,2,0.03
OAF-O-01043,1.5,0.7,-3.11,7.59,2,0.03
OAF-O-00834,1.5,1.0,-1.72,9.16,2,0.03
OAF-O-01030,1.5,0.7,-2.62,11.78,2,0.03
OAF-O-01108,1.5,0.5,-3.49,7.0,2,0.03
OAF-O-00219,1.5,0.6,-1.87,9.530000000000001,2,0.03
OAF-O-02379,1.5,0.9,-1.54,15.0,2,0.03
OAF-O-00997,1.5,1.6,-4.13,11.33,2,0.03
OAF-O-00058,1.5,0.9,-1.54,5.9,2,0.03
OAF-O-02396,1.5,0.7,-2.4,7.66,2,0.03
OAF-O-00995,1.5,1.5,-4.19,12.999999999999998,2,0.03
OAF-O-00162,0.75,0.5,-4.3,4.0,2,0.03
OAF-O-00159,1.25,2.6,-4.14,8.379999999999999,2,0.03
OAF-O-00160,1.0,3.8,-4.14,8.58,2,0.03
OAF-O-00950,1.5,1.0,-3.79,10.879999999999999,2,0.03
OAF-O-00161,1.25,3.0999999999999996,-4.4,11.08,2,0.03
OAF-O-00155,1.25,2.8,-4.16,10.0,2,0.03
OAF-O-00894,2.0,0.5,-1.97,10.3,2,0.03
OAF-O-00895,2.0,0.5,-1.88,11.530000000000001,2,0.03
